epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,3003.85,0.83909,0.54857,0.89,0.41754,0.75,0.26114,0.15791,2.1643,52.4093,1.46416,0.000358238,0.000358238,0.000358238
72,3045.02,0.97138,0.57695,0.91717,0.49843,1,0.50881,0.22964,2.20396,30.9568,1.48444,0.000351639,0.000351639,0.000351639
73,3086.65,0.89666,0.58752,0.9446,0.49843,1,0.50881,0.22964,2.20396,30.9568,1.48444,0.000344709,0.000344709,0.000344709
74,3124.25,0.81745,0.6697,0.9666,0.49843,1,0.50881,0.22964,2.20396,30.9568,1.48444,0.000337449,0.000337449,0.000337449
75,3160.6,0.81538,0.61779,0.94908,0.63468,1,0.74625,0.32378,2.12123,4.65056,1.44896,0.000329859,0.000329859,0.000329859
76,3199.49,0.77858,0.58849,0.83798,0.63468,1,0.74625,0.32378,2.12123,4.65056,1.44896,0.000321939,0.000321939,0.000321939
77,3238.71,0.69718,0.49845,0.86797,0.63468,1,0.74625,0.32378,2.12123,4.65056,1.44896,0.000313689,0.000313689,0.000313689
78,3278.18,0.69707,0.54561,0.98037,0.79489,0.93692,0.995,0.67156,1.96112,2.18132,1.29811,0.000305109,0.000305109,0.000305109
79,3317.78,0.70564,0.60023,0.94444,0.79489,0.93692,0.995,0.67156,1.96112,2.18132,1.29811,0.000296199,0.000296199,0.000296199
80,3357.4,0.79699,0.5983,0.94703,0.79489,0.93692,0.995,0.67156,1.96112,2.18132,1.29811,0.000286959,0.000286959,0.000286959
81,3400.09,0.68234,0.52925,0.88372,0.83256,0.97094,0.995,0.72128,1.85468,1.59913,1.19803,0.000277389,0.000277389,0.000277389
82,3436.35,0.75909,0.52467,0.95974,0.83256,0.97094,0.995,0.72128,1.85468,1.59913,1.19803,0.000267488,0.000267488,0.000267488
83,3480.29,0.70981,0.51849,0.86615,0.83256,0.97094,0.995,0.72128,1.85468,1.59913,1.19803,0.000257258,0.000257258,0.000257258
84,3520.15,0.66143,0.62987,0.89499,0.89817,1,0.995,0.69634,1.7584,1.51395,1.16038,0.000246698,0.000246698,0.000246698
85,3563.76,0.78461,0.51415,0.92024,0.89817,1,0.995,0.69634,1.7584,1.51395,1.16038,0.000235807,0.000235807,0.000235807
86,3603.95,0.75103,0.50098,0.85244,0.89817,1,0.995,0.69634,1.7584,1.51395,1.16038,0.000224587,0.000224587,0.000224587
87,3643.22,0.86402,0.62276,0.8701,0.89817,1,0.995,0.69634,1.7584,1.51395,1.16038,0.000213036,0.000213036,0.000213036
88,49.4828,0.72523,0.56393,0.89908,0,0,0,0,5.3424,1.98896e+09,19679.5,0.000201155,0.000201155,0.000201155
89,139.191,0.8087,0.63108,0.90438,0,0,0,0,5.3424,1.98896e+09,19679.5,0.000188944,0.000188944,0.000188944
90,204.009,0.73501,0.57433,0.88685,0,0,0,0,5.3424,1.98896e+09,19679.5,0.000176404,0.000176404,0.000176404
91,250.928,0.80118,0.65262,0.93447,0,0,0,0,5.3424,1.98896e+09,19679.5,0.000163533,0.000163533,0.000163533
92,307.369,0.81314,0.71087,0.92733,0,0,0,0,4.72158,2.04021e+06,1622.29,0.000150332,0.000150332,0.000150332
93,363.535,0.75596,0.5711,0.78708,0,0,0,0,4.72158,2.04021e+06,1622.29,0.000136801,0.000136801,0.000136801
94,410.219,0.73454,0.62362,0.88749,0,0,0,0,4.72158,2.04021e+06,1622.29,0.00012294,0.00012294,0.00012294
95,446.904,0.7584,0.71999,0.85919,0,0,0,0,4.72158,2.04021e+06,1622.29,0.000108748,0.000108748,0.000108748
96,480.114,0.71225,0.57304,0.91574,0,0,0,0,2.82918,29325.2,2.93545,9.42272e-05,9.42272e-05,9.42272e-05
97,513.539,0.74617,0.63864,0.81102,0,0,0,0,2.82918,29325.2,2.93545,7.93759e-05,7.93759e-05,7.93759e-05
98,551.96,0.68491,0.63531,0.91697,0,0,0,0,2.82918,29325.2,2.93545,6.41945e-05,6.41945e-05,6.41945e-05
99,43.8011,0.91626,0.63805,0.98558,0,0,0,0,1.2942,638106,2.22761,4.86831e-05,4.86831e-05,4.86831e-05
100,89.4104,0.75032,0.60186,0.85774,0,0,0,0,1.2942,638106,2.22761,3.28416e-05,3.28416e-05,3.28416e-05
